Degree,Count,TotalNodes,Prob
79,0,7262,0.0
80,0,7262,0.0
81,2,7262,2.754062241806665E-4
82,1,7262,1.3770311209033325E-4
83,2,7262,2.754062241806665E-4
84,3,7262,4.131093362709997E-4
85,2,7262,2.754062241806665E-4
86,1,7262,1.3770311209033325E-4
87,0,7262,0.0
88,0,7262,0.0
89,2,7262,2.754062241806665E-4
90,0,7262,0.0
91,0,7262,0.0
92,0,7262,0.0
93,1,7262,1.3770311209033325E-4
94,0,7262,0.0
95,0,7262,0.0
96,0,7262,0.0
97,1,7262,1.3770311209033325E-4
98,0,7262,0.0
99,0,7262,0.0
100,0,7262,0.0
101,0,7262,0.0
102,1,7262,1.3770311209033325E-4
103,0,7262,0.0
104,1,7262,1.3770311209033325E-4
105,1,7262,1.3770311209033325E-4
106,0,7262,0.0
107,0,7262,0.0
108,0,7262,0.0
109,0,7262,0.0
110,1,7262,1.3770311209033325E-4
111,1,7262,1.3770311209033325E-4
112,0,7262,0.0
113,1,7262,1.3770311209033325E-4
114,0,7262,0.0
115,0,7262,0.0
116,0,7262,0.0
117,1,7262,1.3770311209033325E-4
118,1,7262,1.3770311209033325E-4
119,0,7262,0.0
120,0,7262,0.0
121,0,7262,0.0
122,0,7262,0.0
123,0,7262,0.0
124,0,7262,0.0
125,0,7262,0.0
126,0,7262,0.0
127,0,7262,0.0
128,0,7262,0.0
129,0,7262,0.0
130,0,7262,0.0
131,1,7262,1.3770311209033325E-4
132,0,7262,0.0
133,1,7262,1.3770311209033325E-4
134,0,7262,0.0
135,0,7262,0.0
136,0,7262,0.0
137,0,7262,0.0
138,0,7262,0.0
139,0,7262,0.0
140,0,7262,0.0
141,1,7262,1.3770311209033325E-4
142,0,7262,0.0
143,1,7262,1.3770311209033325E-4
144,0,7262,0.0
145,0,7262,0.0
146,0,7262,0.0
147,0,7262,0.0
148,0,7262,0.0
149,0,7262,0.0
150,0,7262,0.0
151,0,7262,0.0
152,0,7262,0.0
153,0,7262,0.0
154,0,7262,0.0
155,0,7262,0.0
156,0,7262,0.0
157,0,7262,0.0
158,0,7262,0.0
159,0,7262,0.0
160,0,7262,0.0
161,0,7262,0.0
162,0,7262,0.0
163,0,7262,0.0
164,0,7262,0.0
165,0,7262,0.0
166,0,7262,0.0
167,0,7262,0.0
168,0,7262,0.0
169,0,7262,0.0
170,0,7262,0.0
171,0,7262,0.0
172,0,7262,0.0
173,0,7262,0.0
174,0,7262,0.0
175,0,7262,0.0
176,1,7262,1.3770311209033325E-4
177,0,7262,0.0
178,0,7262,0.0
179,0,7262,0.0
180,0,7262,0.0
181,0,7262,0.0
182,0,7262,0.0
183,0,7262,0.0
184,0,7262,0.0
185,0,7262,0.0
186,0,7262,0.0
187,0,7262,0.0
188,0,7262,0.0
189,0,7262,0.0
190,0,7262,0.0
191,0,7262,0.0
192,0,7262,0.0
193,0,7262,0.0
194,0,7262,0.0
195,0,7262,0.0
196,0,7262,0.0
197,0,7262,0.0
198,0,7262,0.0
199,0,7262,0.0
200,0,7262,0.0
201,0,7262,0.0
202,0,7262,0.0
203,0,7262,0.0
204,0,7262,0.0
205,0,7262,0.0
206,0,7262,0.0
207,0,7262,0.0
208,0,7262,0.0
209,0,7262,0.0
210,0,7262,0.0
211,0,7262,0.0
212,1,7262,1.3770311209033325E-4
213,0,7262,0.0
214,0,7262,0.0
215,0,7262,0.0
216,0,7262,0.0
217,0,7262,0.0
218,0,7262,0.0
219,0,7262,0.0
220,0,7262,0.0
221,0,7262,0.0
222,0,7262,0.0
223,0,7262,0.0
224,0,7262,0.0
225,0,7262,0.0
226,0,7262,0.0
227,1,7262,1.3770311209033325E-4
